PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFG%,TS%
LeBron James,"1,492",56596,40474,14837,29313,50.6,2410,6926,34.8,8390,11404,73.6,1727,9458,11185,11009,2275,1111,5211,54.7,58.9
James Harden,"1,072",37222,25885,7643,17315,44.1,2940,8082,36.4,7659,8900,86.1,816,5201,6017,7629,1597,600,3919,52.6,61.0
Kevin Durant,"1,061",38972,28924,9950,19875,50.1,2031,5248,38.7,6993,7910,88.4,717,6737,7454,4645,1124,1196,3364,55.2,61.9
DeMar DeRozan,"1,110",38461,23582,8440,18007,46.9,531,1791,29.6,6171,7337,84.1,785,4125,4910,4527,1108,361,2274,48.3,55.5
Russell Westbrook,"1,162",39080,25211,9055,20659,43.8,1273,4186,30.4,5828,7512,77.6,1872,6435,8307,9468,1849,369,4587,46.9,52.6
Damian Lillard,842,30519,21151,6822,15576,43.8,2607,7032,37.1,4900,5460,89.7,505,3068,3573,5659,804,257,2379,52.2,58.8
Chris Paul,"1,272",43317,22288,7898,16769,47.1,1720,4658,36.9,4772,5487,87.0,759,4923,5682,11894,2614,200,2964,52.2,58.1
Jimmy Butler,814,27044,14934,4846,10312,47.0,652,1980,32.9,4590,5441,84.4,1316,3035,4351,3474,1323,361,1325,50.2,58.8
Giannis Antetokounmpo,792,25945,18502,6732,12349,54.5,528,1845,28.6,4510,6427,70.2,1452,6280,7732,3855,903,986,2380,56.7,61.0
Anthony Davis,736,25410,17717,6630,12679,52.3,340,1145,29.7,4117,5177,79.5,1952,5873,7825,1828,974,1705,1460,53.6,59.2
Stephen Curry,956,32725,23668,8084,17098,47.3,3747,8805,42.6,3753,4125,91.0,629,3880,4509,6119,1473,235,2987,58.2,62.6
Kyle Lowry,"1,138",36022,16218,5209,12283,42.4,2176,5909,36.8,3624,4445,81.5,881,4013,4894,7003,1466,340,2607,51.3,57.0
Joel Embiid,433,13832,12071,3977,7897,50.4,509,1491,34.1,3608,4369,82.6,972,3860,4832,1573,397,720,1485,53.6,61.5
Kevin Love,929,27254,15299,5033,11469,43.9,1650,4475,36.9,3583,4323,82.9,2194,7209,9403,2150,562,364,1665,51.1,57.2
