,Player,FT,FTA,Percentage
0,Stephen Curry,4098,4494,0.9118825100133512
1,Steve Nash,3060,3384,0.9042553191489362
2,Rick Barry,3818,4243,0.8998350223898185
3,Damian Lillard,5262,5853,0.8990261404407995
4,Chauncey Billups,4496,5029,0.894014714655001
5,Ray Allen,4398,4920,0.8939024390243903
6,Calvin Murphy,3445,3864,0.8915631469979296
7,Reggie Miller,6237,7026,0.8877028181041845
8,Larry Bird,3960,4471,0.8857078953254306
9,Bill Sharman,3143,3559,0.8831132340545097
10,Kevin Durant,7368,8353,0.8820782952232731
11,Dirk Nowitzki,7240,8239,0.8787474208034955
12,Jeff Hornacek,2973,3390,0.8769911504424779
13,Danilo Gallinari,3077,3511,0.8763884933067502
14,Ricky Pierce,3389,3871,0.8754843709635753
15,Devin Booker,3619,4142,0.8737324963785611
16,Trae Young,3245,3718,0.8727810650887574
17,Kiki Vandeweghe,3484,3997,0.8716537403052289
18,Jeff Malone,2947,3383,0.8711203074194502
19,Chris Paul,4858,5580,0.8706093189964158
20,Kevin Martin,3561,4091,0.8704473233928135
21,Hersey Hawkins,3466,3985,0.8697616060225847
22,Mike Newlin,3005,3456,0.8695023148148148
23,Chris Mullin,3616,4178,0.8654858784107229
24,Shai Gilgeous-Alexander,2903,3364,0.8629607609988109
25,Jamal Crawford,3694,4286,0.8618758749416705
26,James Harden,8233,9554,0.8617333054218128
27,Sam Cassell,3567,4144,0.8607625482625483
28,Paul George,3548,4160,0.8528846153846154
29,Richard Hamilton,3240,3805,0.8515111695137977
30,Walter Davis,3128,3676,0.8509249183895539
31,Mitch Richmond,4561,5365,0.8501397949673811
32,Jack Sikma,4292,5053,0.8493963981792995
33,Dolph Schayes,6712,7904,0.8491902834008097
34,Kelly Tripucka,3106,3660,0.8486338797814208
35,Magic Johnson,4960,5850,0.8478632478632478
36,Glen Rice,3225,3813,0.8457907159716759
37,Steve Smith,3064,3625,0.8452413793103448
38,Jimmy Butler,5004,5931,0.8437025796661608
39,George Gervin,4541,5383,0.8435816459223481
40,Joe Dumars,3423,4059,0.8433111603843311
41,DeMar DeRozan,6599,7837,0.8420313895623325
42,Lou Williams,4042,4803,0.8415573599833437
43,Kevin Johnson,3943,4691,0.840545725858026
44,Eddie Johnson,3186,3792,0.8401898734177216
45,Rolando Blackman,3620,4309,0.8401021118588999
46,Karl-Anthony Towns,2914,3474,0.8388025331030512
47,Oscar Robertson,7694,9185,0.8376701143168209
48,Kobe Bryant,8378,10011,0.8368794326241135
49,Terry Porter,3433,4107,0.835889943998052
50,Michael Jordan,7327,8772,0.8352713178294574
51,Alex English,4277,5141,0.831939311418012
52,Sidney Moncrief,3587,4319,0.8305163232229683
53,Kevin Love,3607,4356,0.8280532598714417
54,Joel Embiid,3786,4573,0.827902908375246
55,Manu Ginóbili,3380,4089,0.82660797260944
56,Reggie Theus,4663,5644,0.8261871013465627
57,John Stockton,4788,5796,0.8260869565217391
58,Mike Conley,2987,3617,0.8258225048382638
59,Nikola Jokić,2979,3614,0.8242944106253459
60,Corey Maggette,4605,5599,0.8224682979103412
61,Deron Williams,2878,3502,0.8218161050828098
